Url,Likes,Comments,Saved,Shares,Description,Hashtags,Video_ID
https://www.tiktok.com/@dailymailuk/video/7476402142660676886?q=News&t=1740756735866,9766,512,610,218,Donald Trump appeared to interrupt British PM Keir Starmer as he shut down a question from a journalist about the US President's demand that Canada becomes the 51st state.,#keirstarmer #donaldtrump #canada #justintrudeau #news,7476402142660676886
https://www.tiktok.com/@bens_social_club/video/7476477120005311752?q=News&t=1740756735866,16,9,3,4,In Singapore? 88-year-old elderly worker at foodcourt impress tourists??,#singaporeseniors #costofliving #benpuah #benssocialclub #reddotunited #singaporenews #singaporepolitics #singaporegeneralelection #ge2025 #viral #fyp? #fyp #tiktoksg,7476477120005311752
https://www.tiktok.com/@earthwidenews/video/7476093779766971671?q=News&t=1740756735866,479,62,49,331,,#earthwidenews #historyweekends #breakingnews,7476093779766971671
https://www.tiktok.com/@kingkhieu/video/7466760102867913990?q=News&t=1740756735866,51300,5943,4154,1948,??The Crisis (Wait for it..),#world #news #trending #explores #mtl #khieu #learn #discover #tiktokhunter #education,7466760102867913990
"https://www.tiktok.com/@7newsaustralia/video/7443681468020313362?q=News&t=1740756735866,2600000,64700,241700,479200,""Water in Sydney Harbour has turned bright red, with non-toxic plumbers dye believed to be the likely cause."",#water #dye #colouring #milsonpark #milsonspoint #kirribilli #northshore #lowernorthshore #northsydney #northsydneycouncil #sydneyharbour #sydney #7NEWS,7443681468020313362"
https://www.tiktok.com/@cheesoonjuan/video/7468496995154480400,3597,570,473,2151,Fundraising dinner for SDP's BB campaign. To book seats and then make your payment. For enquiries please Whatsapp 98767148. Only for Singapore Citizens.,#fyp  #teamSDP  #sgpolitics  #singapore  #xyzbca  #fypsg  #fyp??viral  #makeitviral  #viral  #singaporeelections  #GE2025  #tiktoksg  #cheesoonjuan,7468496995154480400
https://www.tiktok.com/@c4news/video/7476537365297663254?q=news&t=1740790461110,104500,13200,15800,14300,Trump tells Zelenskyy 'you're gambling with World War III' during angry exchange in White House.,#Trump #Zelenskyy #Ukriane #Russia #Vance #C4news #Channel4News,7476537365297663254
"https://www.tiktok.com/@channelnewsasia/video/7476360945934093576?q=news&t=1740790691966,799,315,86,54,""Singapore's Prime Minister and Finance Minister Lawrence Wong on Friday (Feb 28) hit back at the oppositions' comments during the Budget debate about the government's """"poor fiscal marksmanship"""" in balancing expenditure needs with its revenues. He said that the government aims to ensure Singapore has enough rather than """"risk falling behind and falling short"""". """"This government will never take risk with Singaporeans' lives and future,"""" he said."",#sgnews #singapore,7476360945934093576"
https://www.tiktok.com/@dailyhivecanada/video/7333785239237577989?q=news&t=1740790691966,20400,760,1482,154,,#tiktokcanada #canada #canadatiktok #traveltok #canadian #toronto #tiktoktoronto #vancouver #ontario #yyc #edmonton #calgary #alberta #calgaryyyc #edmontonalberta #quebec #tiktokquebec #montreal #britishcolumbia #fyp #greenscreen#greenscreenvideo,7333785239237577989
https://www.tiktok.com/@c4news/video/7476540024989846806?q=News&t=1740790919934,1583,269,135,93,Six worshippers have been killed during Friday prayers at an Islamic seminary in northwestern Pakistan. No group has claimed responsibility for the attack.,#Pakistan #Islam #Taliban #Channel4News,7476540024989846806
https://www.tiktok.com/@cnn/video/7470880007229885742?q=News&t=1740790919934,325700,14300,15100,5428,Canadian Prime Minister Justin Trudeau reemphasized Canada's independence during a press conference in Brussels as he wrapped up his visit with world leaders in Europe.,#trudeau #cnn #news,7470880007229885742
https://www.tiktok.com/@thisisgraceshin/video/7438206980247883015?q=News&t=1740790919934,19700,298,2000,952,#Singapore aims to host 2030 #APEC summit,#news #englishnews #presenter #newspresenter #koreanpresenter #cna #english #Koreanjournalist #?? #?? #?? #??,7438206980247883015
https://www.tiktok.com/@uk.breaking.news2s/video/7476046727955352854?q=News&t=1740790919934,400,135,26,8,We cover all the latest news headlines from the UK and around the world.....,#uknews #news #breakingnews #tiktoknew #newsupdate #newstok #latestnews #unitedkingdom????,7476046727955352854
https://www.tiktok.com/@itvnews/video/7470084754180738326?q=News&t=1740790919934,304200,10800,19800,11520,US President Donald Trump has signed an executive order ending a US government effort to replace plastic straws with paper,#itvnews #presidenttrump #usa,7470084754180738326
